key,item,english,translation,notes
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Het project, de technologie en de mensen achter HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Opensource-communitykern en optionele Premium-onderdelen,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Manieren om HKI 7 te steunen zonder Premium te kopen,don't translate HKI 7
notification_channel_general,,General,Algemeen,
location_channel_name,,Location sharing,Locatie delen,
location_notification_title,,Home Assistant location,Home Assistant-locatie,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Je locatie wordt gedeeld met Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Meldingsverbinding,
push_connection_notification_title,,Connected to Home Assistant,Verbonden met Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Luistert naar meldingen,
parcel_title,,Parcels,Pakketten,
parcel_generic_carrier,,Carrier,Vervoerder,
parcel_incoming,,Incoming,Inkomend,
parcel_delivered,,Delivered,Bezorgd,
parcel_outgoing,,Outgoing,Uitgaand,
parcel_letters,,Letters,Brieven,
parcel_mail,,Mail,Post,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d inkomend · %2$d uitgaand,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d inkomend · %2$d uitgaand · %3$d brieven,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d inkomend · %2$d uitgaand · %3$d brieven,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d inkomend · %2$d uitgaand · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Bezorggeschiedenis,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Route en statusupdates van het pakket,
parcel_choose_carrier_account,,Choose a carrier account,Kies een account van een vervoerder,
parcel_empty_tab,,No %1$s parcels.,Geen %1$s pakketten.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Geen inkomende pakketten.,
parcel_no_delivered,,No delivered parcels.,Geen bezorgde pakketten.,
parcel_no_outgoing,,No outgoing parcels.,Geen uitgaande pakketten.,
parcel_stage_registered,,Registered,Aangemeld,
parcel_stage_sorting,,Sorting,Wordt gesorteerd,
parcel_stage_on_the_way,,On the way,Onderweg,
parcel_unknown_status,,Unknown status,Onbekende status,
parcel_status_in_transit,,In transit,Onderweg,
parcel_status_out_for_delivery,,Out for delivery,Vandaag in bezorging,
parcel_status_at_pickup_point,,Ready at pickup point,Klaar bij het afhaalpunt,
parcel_status_ready_to_send,,Ready to send,Klaar voor verzending,
parcel_letter_preview,,Letter preview,Voorbeeld van brief,
parcel_carriers,,Carriers,Vervoerders,
parcel_track_new,,Track a new %1$s parcel by number,Volg een nieuw pakket van %1$s via de track-and-tracecode,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Kies een vervoerder,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Accounts van vervoerders, samenvoegen en weergave",
parcel_settings_accounts,,Accounts,Accounts,
parcel_settings_organization,,Organization,Indeling,
parcel_settings_appearance,,Appearance,Weergave,
action_remove,,Remove,Verwijderen,
notification_delete,,Delete notification,Melding verwijderen,
notification_mark_all_read,,Mark all as read,Alles als gelezen markeren,
notification_mark_all_unread,,Mark all as unread,Alles als ongelezen markeren,
notification_delete_all,,Delete all,Alles verwijderen,
notification_delete_all_archived,,Delete all archived,Alle gearchiveerde meldingen verwijderen,
notification_unread,,Unread,Ongelezen,
notification_history,,History,Geschiedenis,
notification_mark_unread,,Mark as unread,Als ongelezen markeren,
notification_mark_read,,Mark as read,Als gelezen markeren,
notification_archive,,Archive,Archiveren,
notification_unarchive,,Unarchive,Uit archief halen,
notification_delete_action,,Delete,Verwijderen,
entity_search_select_items,,Select items,Items selecteren,
entity_search_choose_one,,Search and choose one entity,Zoek en kies één entiteit,
entity_search_choose_multiple,,Search and select one or more entities,Zoek en selecteer een of meer entiteiten,
global_search_title,,Search,Zoeken,
global_search_subtitle,,Find and control any Home Assistant device or entity,Zoek en bedien elk Home Assistant-apparaat of elke entiteit,don't translate Home Assistant
global_search_clear,,Clear search,Zoekopdracht wissen,
global_search_no_devices,,No matching devices.,Geen overeenkomende apparaten.,
global_search_no_entities,,No matching entities.,Geen overeenkomende entiteiten.,
security_title,,Security,Beveiliging,
security_subtitle,,Home status and activity,Status en activiteit in huis,
security_settings,,Security settings,Beveiligingsinstellingen,
security_entities,,Security entities,Beveiligingsentiteiten,
security_reimport,,Re-import,Opnieuw importeren,
security_group_doors,,Doors,Deuren,
security_group_doors_subtitle,,Door contacts,Deurcontacten,
security_group_windows,,Windows,Ramen,
security_group_windows_subtitle,,Window contacts,Raamcontacten,
security_group_openings,,Openings,Openingen,
security_group_openings_subtitle,,Garage doors and other openings,Garagedeuren en andere openingen,
security_group_garage_doors,,Garage doors,Garagedeuren,
security_group_garage_doors_subtitle,,Garage door covers,Bediening van garagedeuren,
security_group_covers,,Covers,Raambekleding,
security_group_covers_subtitle,,"Blinds, shutters, and gates","Jaloezieën, rolluiken en poorten",
security_group_locks,,Locks,Sloten,
security_group_locks_subtitle,,Door and gate locks,Deur- en poortsloten,
security_group_motion,,Motion,Beweging,
security_group_motion_subtitle,,Motion detection,Bewegingsdetectie,
security_group_presence,,Presence,Aanwezigheid,
security_group_presence_subtitle,,Occupancy sensors,Aanwezigheidssensoren,
security_group_fire,,Fire and temperature,Brand en temperatuur,
security_group_fire_subtitle,,"Fire, heat, cold, and safety alarms","Brand-, hitte-, kou- en veiligheidsmelders",
security_group_smoke,,Smoke,Rook,
security_group_smoke_subtitle,,Smoke detectors,Rookmelders,
security_group_gas,,Gas,Gas,
security_group_gas_subtitle,,Combustible gas sensors,Brandbare-gassensoren,
security_group_co2,,CO / CO₂,CO / CO₂,
security_group_co2_subtitle,,Carbon monoxide and carbon dioxide sensors,Koolmonoxide- en koolstofdioxidesensoren,
security_group_moisture,,Leaks,Lekkages,
security_group_moisture_subtitle,,Moisture and water leaks,Vocht- en waterlekkages,
security_group_sound,,Sound,Geluid,
security_group_sound_subtitle,,Sound and glass-break sensors,Geluids- en glasbreuksensoren,
security_group_light,,Light detection,Lichtdetectie,
security_group_light_subtitle,,Light and beam sensors,Licht- en straalsensoren,
security_group_alarms,,Alarm systems,Alarmsystemen,
security_group_alarms_subtitle,,Alarm control panels,Alarmbedieningspanelen,
security_group_cameras,,Cameras,Camera’s,
security_group_cameras_subtitle,,Camera feeds,Camerabeelden,
security_no_search_active,,No search active · %1$s,Geen zoekopdracht actief · %1$s,app fills in %1$s — keep them
security_status_alert,,Security alert,Beveiligingsalarm,
security_status_alarm_pending,,Alarm pending,Alarm wordt ingeschakeld,
security_status_changing_alarm,,Changing alarm mode,Alarmmodus wordt gewijzigd,
security_status_needs_attention,,Needs attention,Vereist aandacht,
security_status_motion,,Motion detected,Beweging gedetecteerd,
security_status_sensor_activity,,Sensor activity,Sensoractiviteit,
security_status_alarm_unavailable,,Alarm unavailable,Alarm niet beschikbaar,
security_status_devices_unavailable,,Devices unavailable,Apparaten niet beschikbaar,
security_status_cameras_offline,,Cameras offline,Camera’s offline,
security_status_all_secure,,All secure,Alles beveiligd,
security_status_alarm_disarmed,,Alarm disarmed,Alarm uitgeschakeld,
security_status_all_clear,,All clear,Alles in orde,
security_status_no_data,,No security data,Geen beveiligingsgegevens,
security_metric_openings,,Openings,Openingen,
security_metric_locked,,Locked,Vergrendeld,
security_metric_cameras_online,,Cameras online,Camera’s online,
security_card_title,,Security card,Beveiligingskaart,
security_card_subtitle,,"Name, layout, and card appearance","Naam, indeling en kaartweergave",
security_stat_total,,Total,Totaal,
security_stat_active,,Active,Actief,
security_stat_clear,,Clear,In orde,
security_cover_open,,Open,Openen,
security_cover_stop,,Stop,Stoppen,
security_cover_close,,Close,Sluiten,
security_restore,,Restore,Herstellen,
security_empty,,This is an empty security view. Swipe down on the header and open Security settings to add entities manually.,Deze beveiligingsweergave is leeg. Veeg de koptekst omlaag en open de beveiligingsinstellingen om handmatig entiteiten toe te voegen.,
connection_stopping_for_restart,,Stopping for restart…,Stoppen om opnieuw op te starten…,
connection_starting,,Home Assistant is starting…,Home Assistant wordt gestart…,don't translate Home Assistant
connection_restoring_dashboard,,Restoring your dashboard…,Je dashboard wordt hersteld…,
connection_restarting,,Home Assistant is restarting…,Home Assistant wordt opnieuw gestart…,don't translate Home Assistant
connection_auto_generating,,Auto-generating rooms and widgets…,Kamers en widgets worden automatisch aangemaakt…,
connection_reconnecting,,Reconnecting to Home Assistant…,Opnieuw verbinden met Home Assistant…,don't translate Home Assistant
connection_unavailable_retrying,,Unavailable · Retrying…,Niet beschikbaar · Opnieuw proberen…,
connection_paused,,Connection paused,Verbinding gepauzeerd,
connection_connected,,Connected,Verbonden,
connection_server_not_found,,Server address could not be found,Het serveradres is niet gevonden,
connection_timed_out,,Connection timed out,Time-out bij verbinden,
connection_no_route,,No network route to Home Assistant,Geen netwerkroute naar Home Assistant,don't translate Home Assistant
connection_could_not_connect,,Could not connect to Home Assistant,Kan geen verbinding maken met Home Assistant,don't translate Home Assistant
connection_secure_failed,,Secure connection failed,Beveiligde verbinding mislukt,
connection_session_expired_refreshing,,Session expired · Refreshing login…,Sessie verlopen · Aanmelding vernieuwen…,
connection_interrupted,,Connection was interrupted,De verbinding is onderbroken,
connection_error_title,,Connection error,Verbindingsfout,
connection_all_systems_normal,,All systems normal,Alle systemen werken normaal,
action_undo,,Undo,Ongedaan maken,
action_redo,,Redo,Opnieuw uitvoeren,
connection_route_local,,Local,Lokaal,
connection_route_nabu_casa,,Nabu Casa,Nabu Casa,don't translate Nabu Casa
connection_route_external,,External,Extern,
settings_connection_via,,Connected via %1$s,Verbonden via %1$s,app fills in %1$s — keep them
settings_connection_unknown,,Unknown,Onbekend,
settings_connection_connecting,,Connecting…,Verbinden…,
settings_this_home,,this home,deze woning,
settings_local_network_allowed,,Allowed,Toegestaan,
settings_local_network_not_allowed,,Not allowed — Home Assistant cannot be reached directly on your Wi-Fi,Niet toegestaan: Home Assistant is niet rechtstreeks bereikbaar via je wifi-netwerk,don't translate Home Assistant
settings_current_wifi,,Current Wi-Fi,Huidig wifi-netwerk,
settings_wifi_unavailable,,Not connected or location permission is missing,Niet verbonden of locatietoestemming ontbreekt,
settings_just_now,,just now,zojuist,
settings_primary_app_language,,Primary application language,Primaire programmeertaal van de app,
settings_android_build_configuration,,Android resources and build configuration,Android-resources en buildconfiguratie,
page_settings_default_title,,Page settings,Pagina-instellingen,
page_settings_choose_area,,Choose an area to configure,Kies een onderdeel om in te stellen,
page_settings_focused_options,,Focused options for this page area,Instellingen voor dit paginaonderdeel,
page_settings_header_description,,Wallpaper and custom header color,Achtergrond en aangepaste kopkleur,
page_settings_custom_page_description,,"Name, subtitle, and navigation icon","Naam, subtitel en navigatiepictogram",
page_settings_badge_bar,,Badge bar,Badgebalk,
page_settings_badge_description,,"Visibility, alignment, and display options","Zichtbaarheid, uitlijning en weergaveopties",
page_settings_persons,,Persons,Personen,
page_settings_persons_description,,Visibility and ordering,Zichtbaarheid en volgorde,
page_settings_configure,,Configure,Instellen,
room_config_title,,Room configuration,Kamerinstellingen,
header_pill_left,,Left header pill,Linker kopbadge,
header_pill_right,,Right header pill,Rechter kopbadge,
alignment_split,,Split,Gesplitst,
alignment_center,,Center,Gecentreerd,
weather_cloudy,,Cloudy,Bewolkt,
home_default_markdown_content,,# Markdown\nOpen this widget's settings in **edit mode** to write your own content.,# Markdown\nOpen de instellingen van deze widget in de **bewerkingsmodus** om je eigen inhoud te schrijven.,\n = line break
home_settings_title,,Home settings,Woninginstellingen,
custom_page_settings_title,,%1$s settings,Instellingen voor %1$s,app fills in %1$s — keep them
home_empty,,This is the homepage. Add widgets by swiping down on the header and enabling edit mode.,De startpagina is leeg. Veeg de koptekst omlaag en schakel de bewerkingsmodus in om widgets toe te voegen.,
custom_page_empty,,This page is empty. Add widgets by swiping down on the header and enabling edit mode.,Deze pagina is leeg. Veeg de koptekst omlaag en schakel de bewerkingsmodus in om widgets toe te voegen.,
select_camera_title,,Select camera,Camera kiezen,
select_entity_title,,Select entity,Entiteit kiezen,
custom_camera_default_name,,Custom camera,Aangepaste camera,
rooms_settings_title,,Rooms settings,Kamerinstellingen,
rooms_empty,,The rooms view is empty. Swipe down on the header and enable edit mode to add floors and rooms.,Het kameroverzicht is leeg. Veeg de koptekst omlaag en schakel de bewerkingsmodus in om verdiepingen en kamers toe te voegen.,
floor_expand,,Expand floor,Verdieping uitvouwen,
floor_collapse,,Collapse floor,Verdieping samenvouwen,
floor_settings_title,,Floor,Verdieping,
floor_settings_subtitle,,"Identity, layout, and card style","Naam, indeling en kaartweergave",
universal_effects,,Effects,Effecten,
universal_open_door,,Open door,Deur openen,
universal_vacuum_dock,,Dock,Naar laadstation,
universal_start,,Start,Starten,
universal_pause,,Pause,Pauzeren,
universal_stop,,Stop,Stoppen,
universal_locate,,Locate,Lokaliseren,
universal_room_number,,Room %1$d,Kamer %1$d,app fills in %1$d — keep them
core_optional_display_name,,Optional display name override,Optionele aangepaste weergavenaam,
core_media_paused_track,,Paused: %1$s,Gepauzeerd: %1$s,app fills in %1$s — keep them
core_percent_value,,%1$d percent,%1$d procent,app fills in %1$d — keep them
core_current_humidity,,Current humidity,Huidige luchtvochtigheid,
core_tank_water_level,,Tank / water level,Reservoir- / waterniveau,
core_pm25,,PM2.5,"PM2,5",
core_error_code,,Error code,Foutcode,
core_bucket_full,,Bucket full,Reservoir vol,
core_clean_filter,,Clean filter,Filter reinigen,
core_ionizer,,Ionizer,Ionisator,
core_pump,,Pump,Pomp,
core_beep_on_command,,Beep on command,Pieptoon bij opdracht,
core_dawn,,Dawn,Ochtendschemering,
core_solar_noon,,Solar noon,Zonnemiddag,
core_dusk,,Dusk,Avondschemering,
core_icon_category_common,,Common,Veelgebruikt,
core_icon_category_home,,Home,Thuis,
core_icon_category_weather,,Weather,Weer,
core_icon_category_lock,,Lock,Sloten,
core_icon_category_people,,People,Personen,
core_icon_category_auto,,Automotive,Voertuigen,
core_icon_category_music,,Music,Muziek,
core_icon_category_battery,,Battery,Batterij,
core_icon_category_nature,,Nature,Natuur,
core_icon_category_places,,Places,Plaatsen,
core_icon_category_food,,Food,Eten en drinken,
core_icon_category_navigation,,Navigation,Navigatie,
core_icon_category_devices,,Devices,Apparaten,
core_icon_category_map,,Map,Kaart,
core_icon_category_media,,Media,Media,
core_icon_category_communication,,Communication,Communicatie,
core_icon_category_health,,Health,Gezondheid,
core_icon_category_vehicles,,Vehicles,Voertuigen,
core_icon_category_buildings,,Buildings,Gebouwen,
core_icon_category_electrical,,Electrical,Elektrisch,
core_icon_category_sport,,Sport,Sport,
core_icon_category_objects,,Objects,Voorwerpen,
core_icon_category_commerce,,Commerce,Handel,
core_icon_category_games,,Games,Spellen,
core_icon_category_finance,,Finance,Financiën,
background_notification_channel_general,,General,Algemeen,
background_location_channel_name,,Location sharing,Locatie delen,
background_location_channel_description,,Keeps your device location up to date in Home Assistant,Houdt de locatie van je apparaat actueel in Home Assistant,don't translate Home Assistant
background_location_notification_title,,Home Assistant location sharing,Locatie delen met Home Assistant,don't translate Home Assistant
background_location_notification_text,,Sharing your location with Home Assistant,Je locatie wordt gedeeld met Home Assistant,don't translate Home Assistant
background_push_channel_name,,Notification connection,Meldingsverbinding,
background_push_channel_description,,Keeps a background connection to Home Assistant for instant notifications,Houdt op de achtergrond verbinding met Home Assistant voor directe meldingen,don't translate Home Assistant
background_push_notification_title,,Connected to Home Assistant,Verbonden met Home Assistant,don't translate Home Assistant
background_push_notification_text,,Waiting for notifications,Wacht op meldingen,
background_push_hide_action,,Hide this notification,Deze melding verbergen,
button_style_centered,,Centered,Gecentreerd,
button_elements,,Elements,Elementen,
button_elements_description,,What appears on this button. Hide the name and state for an icon on its own.,Wat op deze knop verschijnt. Verberg de naam en status van een afzonderlijk pictogram.,
stack_elements_title,,Elements on every button in this stack,Elementen op elke knop in deze stapel,
stack_elements_description,,"These apply to the whole stack, not to one button. Turning something off here hides it on every button in the stack; leaving it on lets each button decide for itself in its own settings.","Deze gelden voor de hele stapel, niet voor één knop. Als je hier iets uitschakelt, wordt het op elke knop in de stapel verborgen; Als je deze aan laat staan, kan elke knop voor zichzelf beslissen in zijn eigen instellingen.",
button_element_icon,,Icon,Pictogram,
button_element_name,,Name,Naam,
button_element_state,,State,Status,
stack_show_title,,Show name,Naam weergeven,
stack_show_title_description,,Turn off for a stack with no heading at all.,Schakel uit voor een stapel zonder koers.,
stack_show_icon,,Show icon,Pictogram weergeven,
stack_show_icon_description,,The icon beside the heading.,Het pictogram naast de kop.,
stack_center_title,,Center the heading,Centreer de kop,
stack_center_title_description,,Puts the icon and name in the middle instead of against the left edge.,Plaatst het pictogram en de naam in het midden in plaats van tegen de linkerrand.,
cr_state_on,,On,Aan,
cr_state_off,,Off,Uit,
cr_open,,Open,Openen,
cr_close,,Close,Sluiten,
cr_stop,,Stop,Stoppen,
cr_closed,,Closed,Gesloten,
cr_opening,,Opening,Wordt geopend,
cr_closing,,Closing,Wordt gesloten,
cr_locked,,Locked,Vergrendeld,
cr_unlocked,,Unlocked,Ontgrendeld,
cr_unavailable,,Unavailable,Niet beschikbaar,
cr_unknown,,Unknown,Onbekend,
cr_idle,,Idle,Inactief,
cr_home,,Home,Thuis,
cr_away,,Away,Afwezig,
cr_cleaning,,Cleaning,Aan het schoonmaken,
cr_returning,,Returning,Keert terug,
cr_paused,,Paused,Gepauzeerd,
cr_error,,Error,Fout,
cr_playing,,Playing,Speelt af,
cr_buffering,,Buffering,Aan het bufferen,
cr_standby,,Standby,Stand-by,
cr_humidifying,,Humidifying,Aan het bevochtigen,
cr_drying,,Drying,Aan het ontvochtigen,
cr_detected,,Detected,Gedetecteerd,
cr_clear,,Clear,Vrij,
cr_problem,,Problem,Probleem,
cr_ok,,OK,In orde,
cr_low,,Low,Laag,
cr_normal,,Normal,Normaal,
cr_connected,,Connected,Verbonden,
cr_disconnected,,Disconnected,Niet verbonden,
cr_plugged_in,,Plugged in,Aangesloten,
cr_unplugged,,Unplugged,Niet aangesloten,
cr_wet,,Wet,Nat,
cr_dry,,Dry,Droog,
cr_none,,None,Geen,
cr_any,,Any,Onbeperkt,
cr_remove,,Remove,Verwijderen,
cr_restore,,Restore,Herstellen,
cr_general,,General,Algemeen,
cr_identity,,Identity,Naam en pictogram,
cr_appearance,,Appearance,Weergave,
cr_layout,,Layout,Indeling,
cr_behavior,,Behavior,Gedrag,
cr_profiles,,Profiles,Profielen,
cr_playback,,Playback,Afspelen,
cr_content,,Content,Inhoud,
cr_actions,,Actions,Acties,
cr_protection,,Protection,Beveiliging,
cr_power,,Power,Aan/uit,
cr_brightness,,Brightness,Helderheid,
cr_temperature,,Temperature,Temperatuur,
cr_color,,Color,Kleur,
cr_min,,Min,Min.,
cr_avg,,Avg,Gem.,
cr_max,,Max,Max.,
cr_now,,Now,Nu,
cr_lowest,,Lowest,Laagste,
cr_average,,Average,Gemiddeld,
cr_highest,,Highest,Hoogste,
cr_live,,Live,Live,
cr_once,,Once,Eenmalig,
cr_daily,,Daily,Dagelijks,
cr_weekly,,Weekly,Wekelijks,
cr_monthly,,Monthly,Maandelijks,
cr_yearly,,Yearly,Jaarlijks,
cr_action_tap,,Tap,Tikken,
cr_action_double_tap,,Double tap,Dubbeltikken,
cr_action_hold,,Hold,Ingedrukt houden,
cr_mode,,Mode,Modus,
cr_mode_auto,,Auto,Automatisch,
cr_mode_heat,,Heat,Verwarmen,
cr_mode_cool,,Cool,Koelen,
cr_mode_heat_cool,,Heat/cool,Verwarmen/koelen,
cr_mode_dry,,Dry,Ontvochtigen,
cr_mode_fan_only,,Fan only,Alleen ventileren,
cr_mode_low,,Low,Laag,
cr_mode_medium,,Medium,Gemiddeld,
cr_mode_high,,High,Hoog,
cr_mode_quiet,,Quiet,Stil,
cr_mode_boost,,Boost,Boost,
cr_mode_eco,,Eco,Eco,
cr_mode_sleep,,Sleep,Slaapstand,
cr_mode_manual,,Manual,Handmatig,
cr_mode_vertical,,Vertical,Verticaal,
cr_mode_horizontal,,Horizontal,Horizontaal,
cr_mode_both,,Both,Beide,
cr_mode_up,,Up,Omhoog,
cr_mode_down,,Down,Omlaag,
cr_mode_center,,Center,Midden,
cr_mode_left,,Left,Links,
cr_mode_right,,Right,Rechts,
cr_climate_fan,,Fan,Ventilator,
cr_climate_vertical_airflow,,Vertical airflow,Verticale luchtstroom,
cr_climate_horizontal_airflow,,Horizontal airflow,Horizontale luchtstroom,
cr_climate_preset,,Preset,Voorkeuze,
cr_fan_speed,,Fan speed,Ventilatorsnelheid,
cr_speed,,Speed,Snelheid,
cr_lower_target,,Lower target,Doelwaarde verlagen,
cr_raise_target,,Raise target,Doelwaarde verhogen,
cr_climate_temperature,,Temperature,Temperatuur,
cr_climate_all_temperature_sensors,,All temperature sensors,Alle temperatuursensoren,
cr_climate_outside,,Outside,Buiten,
cr_climate_outside_summary,,"Outdoor temperature, humidity, and pressure","Buitentemperatuur, luchtvochtigheid en luchtdruk",
cr_climate_humidity,,Humidity,Luchtvochtigheid,
cr_climate_all_humidity_sensors,,All humidity sensors,Alle luchtvochtigheidssensoren,
cr_climate_air_pressure,,Air pressure,Luchtdruk,
cr_climate_all_pressure_sensors,,All air-pressure sensors,Alle luchtdruksensoren,
cr_climate_co2,,CO₂,CO₂,
cr_climate_carbon_dioxide_sensors,,Carbon-dioxide sensors,Koolstofdioxidesensoren,
cr_climate_air_quality,,Air quality,Luchtkwaliteit,
cr_climate_air_quality_summary,,"Particulates, AQI, VOCs, and gases","Fijnstof, LKI, VOS en gassen",
cr_climate_entities,,Climate entities,Klimaatentiteiten,
cr_climate_settings,,Climate settings,Klimaatinstellingen,
cr_empty_climate_view,,No climate data is available yet.,Er zijn nog geen klimaatgegevens beschikbaar.,
cr_climate_fans,,Fans,Ventilatoren,
cr_climate_air_purifiers,,Air purifiers,Luchtreinigers,
cr_climate_humidifiers,,Humidifiers,Luchtbevochtigers,
cr_temperature_sensors,,Temperature sensors,Temperatuursensoren,
cr_devices_active,,Devices active,Actieve apparaten,
cr_active_of_total,,%1$d of %2$d active,%1$d van %2$d actief,app fills in %1$d %2$d — keep them
cr_no_search_active,,No active search · %1$s,Geen zoekopdracht · %1$s,app fills in %1$s — keep them
cr_collapse_search,,Collapse search,Zoeken inklappen,
cr_expand_search,,Expand search,Zoeken uitklappen,
cr_custom_order,,Custom order,Eigen volgorde,
cr_name_a_z,,Name A–Z,Naam A–Z,
cr_name_z_a,,Name Z–A,Naam Z–A,
cr_climate_device,,Climate device,Klimaatapparaat,
cr_climate_device_subtitle,,"Name, icon, card style, and width","Naam, pictogram, kaartstijl en breedte",
cr_widget_requires_f1,,"Needs the F1 Sensor integration, which was not found on your Home Assistant","Vereist de F1-sensorintegratie, die niet werd gevonden op uw Home Assistant",don't translate Home Assistant
cr_widget_requires_parcels,,"Needs a parcel integration, and none was found on your Home Assistant",Er is een pakketintegratie nodig en er is geen pakket gevonden op uw Home Assistant,don't translate Home Assistant
cr_widget_requires_waste,,"Needs a waste collection integration, and none was found on your Home Assistant",Er is een afvalinzamelingsintegratie nodig en er is geen gevonden op uw Home Assistant,don't translate Home Assistant
cr_people_here_title,,Who is here,Wie is hier,
cr_people_here_empty,,Nobody is being tracked in this room right now.,Er wordt momenteel niemand gevolgd in deze kamer.,
cr_people_here_unknown_room,,Room unknown,Kamer onbekend,
cr_button_exclude_counters,,Leave out of counters,Laat de tellers buiten beschouwing,
cr_button_exclude_counters_hint,,"Keep the button, but stop it counting towards this room’s Lights and Devices totals","Houd de knop ingedrukt, maar zorg ervoor dat deze niet meer meetelt voor de totalen voor lampen en apparaten in deze kamer",
cr_count_with_average,,%1$s · avg %2$s%3$s,%1$s · gem. %2$s%3$s,app fills in %1$s %2$s %3$s — keep them
cr_outside_temperature,,Outside temperature,Buitentemperatuur,
cr_outside_humidity,,Outside humidity,Luchtvochtigheid buiten,
cr_outside_pressure,,Outside pressure,Luchtdruk buiten,
cr_outside_air_pressure,,Outside air pressure,Luchtdruk buiten,
cr_no_sensors_found_for,,No %1$s sensors found.,Geen sensoren voor %1$s gevonden.,app fills in %1$s — keep them
cr_climate_control,,Climate control,Klimaatbediening,
cr_thermostat_dial,,Thermostat dial,Thermostaatknop,
cr_width_third,,Third,Een derde,
cr_width_half,,Half,Half,
cr_width_full,,Full,Volledig,
