key,item,english,translation,notes
entity_search_choose_multiple,,Search and select one or more entities,Eine oder mehrere Entitäten suchen und auswählen,
global_search_title,,Search,Suche,
global_search_subtitle,,Find and control any Home Assistant device or entity,Beliebige Geräte oder Entitäten in Home Assistant suchen und steuern,don't translate Home Assistant
global_search_clear,,Clear search,Suche löschen,
global_search_no_devices,,No matching devices.,Keine passenden Geräte.,
global_search_no_entities,,No matching entities.,Keine passenden Entitäten.,
security_title,,Security,Sicherheit,
security_subtitle,,Home status and activity,Status und Aktivitäten im Zuhause,
security_settings,,Security settings,Sicherheitseinstellungen,
security_entities,,Security entities,Sicherheitsentitäten,
security_reimport,,Re-import,Erneut importieren,
security_group_doors,,Doors,Türen,
security_group_doors_subtitle,,Door contacts,Türkontakte,
security_group_windows,,Windows,Fenster,
security_group_windows_subtitle,,Window contacts,Fensterkontakte,
security_group_openings,,Openings,Öffnungen,
security_group_openings_subtitle,,Garage doors and other openings,Garagentore und andere Öffnungen,
security_group_garage_doors,,Garage doors,Garagentore,
security_group_garage_doors_subtitle,,Garage door covers,Garagentorsteuerungen,
security_group_covers,,Covers,Abdeckungen,
security_group_covers_subtitle,,"Blinds, shutters, and gates","Jalousien, Rollläden und Tore",
security_group_locks,,Locks,Schlösser,
security_group_locks_subtitle,,Door and gate locks,Tür- und Torschlösser,
security_group_motion,,Motion,Bewegung,
security_group_motion_subtitle,,Motion detection,Bewegungserkennung,
security_group_presence,,Presence,Anwesenheit,
security_group_presence_subtitle,,Occupancy sensors,Anwesenheitssensoren,
security_group_fire,,Fire and temperature,Brand und Temperatur,
security_group_fire_subtitle,,"Fire, heat, cold, and safety alarms","Brand-, Hitze-, Kälte- und Sicherheitsalarme",
security_group_smoke,,Smoke,Rauch,
security_group_smoke_subtitle,,Smoke detectors,Rauchmelder,
security_group_gas,,Gas,Gas,
security_group_gas_subtitle,,Combustible gas sensors,Sensoren für brennbare Gase,
security_group_co2,,CO / CO₂,CO / CO₂,
security_group_co2_subtitle,,Carbon monoxide and carbon dioxide sensors,Kohlenmonoxid- und Kohlendioxidsensoren,
security_group_moisture,,Leaks,Lecks,
security_group_moisture_subtitle,,Moisture and water leaks,Feuchtigkeits- und Wassersensoren,
security_group_sound,,Sound,Geräusche,
security_group_sound_subtitle,,Sound and glass-break sensors,Geräusch- und Glasbruchsensoren,
security_group_light,,Light detection,Lichterkennung,
security_group_light_subtitle,,Light and beam sensors,Licht- und Strahlsensoren,
security_group_alarms,,Alarm systems,Alarmsysteme,
security_group_alarms_subtitle,,Alarm control panels,Alarmzentralen,
security_group_cameras,,Cameras,Kameras,
security_group_cameras_subtitle,,Camera feeds,Kamerabilder,
security_no_search_active,,No search active · %1$s,Keine Suche aktiv · %1$s,app fills in %1$s — keep them
security_status_alert,,Security alert,Sicherheitswarnung,
security_status_alarm_pending,,Alarm pending,Alarm wird aktiviert,
security_status_changing_alarm,,Changing alarm mode,Alarmmodus wird geändert,
security_status_needs_attention,,Needs attention,Erfordert Aufmerksamkeit,
security_status_motion,,Motion detected,Bewegung erkannt,
security_status_sensor_activity,,Sensor activity,Sensoraktivität,
security_status_alarm_unavailable,,Alarm unavailable,Alarm nicht verfügbar,
security_status_devices_unavailable,,Devices unavailable,Geräte nicht verfügbar,
security_status_cameras_offline,,Cameras offline,Kameras offline,
security_status_all_secure,,All secure,Alles gesichert,
security_status_alarm_disarmed,,Alarm disarmed,Alarm deaktiviert,
security_status_all_clear,,All clear,Alles in Ordnung,
security_status_no_data,,No security data,Keine Sicherheitsdaten,
security_metric_openings,,Openings,Öffnungen,
security_metric_locked,,Locked,Verriegelt,
security_metric_cameras_online,,Cameras online,Kameras online,
security_card_title,,Security card,Sicherheitskarte,
security_card_subtitle,,"Name, layout, and card appearance","Name, Layout und Kartendarstellung",
security_stat_total,,Total,Gesamt,
security_stat_active,,Active,Aktiv,
security_stat_clear,,Clear,In Ordnung,
security_cover_open,,Open,Öffnen,
security_cover_stop,,Stop,Stoppen,
security_cover_close,,Close,Schließen,
security_restore,,Restore,Wiederherstellen,
security_empty,,This is an empty security view. Swipe down on the header and open Security settings to add entities manually.,"Diese Sicherheitsansicht ist leer. Wische in der Kopfzeile nach unten und öffne die Sicherheitseinstellungen, um Entitäten manuell hinzuzufügen.",
connection_stopping_for_restart,,Stopping for restart…,Wird für den Neustart angehalten…,
connection_starting,,Home Assistant is starting…,Home Assistant wird gestartet…,don't translate Home Assistant
connection_restoring_dashboard,,Restoring your dashboard…,Dein Dashboard wird wiederhergestellt…,
connection_restarting,,Home Assistant is restarting…,Home Assistant wird neu gestartet…,don't translate Home Assistant
connection_auto_generating,,Auto-generating rooms and widgets…,Räume und Widgets werden automatisch erstellt…,
connection_reconnecting,,Reconnecting to Home Assistant…,Verbindung zu Home Assistant wird wiederhergestellt…,don't translate Home Assistant
connection_unavailable_retrying,,Unavailable · Retrying…,Nicht verfügbar · Neuer Versuch…,
connection_paused,,Connection paused,Verbindung pausiert,
connection_connected,,Connected,Verbunden,
connection_server_not_found,,Server address could not be found,Die Serveradresse konnte nicht gefunden werden,
connection_timed_out,,Connection timed out,Zeitüberschreitung bei der Verbindung,
connection_no_route,,No network route to Home Assistant,Kein Netzwerkpfad zu Home Assistant,don't translate Home Assistant
connection_could_not_connect,,Could not connect to Home Assistant,Verbindung zu Home Assistant konnte nicht hergestellt werden,don't translate Home Assistant
connection_secure_failed,,Secure connection failed,Sichere Verbindung fehlgeschlagen,
connection_session_expired_refreshing,,Session expired · Refreshing login…,Sitzung abgelaufen · Anmeldung wird erneuert…,
connection_interrupted,,Connection was interrupted,Die Verbindung wurde unterbrochen,
connection_error_title,,Connection error,Verbindungsfehler,
connection_all_systems_normal,,All systems normal,Alle Systeme funktionieren normal,
action_undo,,Undo,Rückgängig,
action_redo,,Redo,Wiederholen,
connection_route_local,,Local,Lokal,
connection_route_nabu_casa,,Nabu Casa,Nabu Casa,don't translate Nabu Casa
connection_route_external,,External,Extern,
settings_connection_via,,Connected via %1$s,Verbunden über %1$s,app fills in %1$s — keep them
settings_connection_unknown,,Unknown,Unbekannt,
settings_connection_connecting,,Connecting…,Verbindung wird hergestellt…,
settings_this_home,,this home,dieses Zuhause,
settings_local_network_allowed,,Allowed,Erlaubt,
settings_local_network_not_allowed,,Not allowed — Home Assistant cannot be reached directly on your Wi-Fi,Nicht zulässig – Home Assistant kann nicht direkt über Ihr WLAN erreicht werden,don't translate Home Assistant
settings_current_wifi,,Current Wi-Fi,Aktuelles WLAN,
settings_wifi_unavailable,,Not connected or location permission is missing,Nicht verbunden oder Standortberechtigung fehlt,
settings_just_now,,just now,gerade eben,
settings_primary_app_language,,Primary application language,Primäre Anwendungssprache,
settings_android_build_configuration,,Android resources and build configuration,Android-Ressourcen und Build-Konfiguration,
page_settings_default_title,,Page settings,Seiteneinstellungen,
page_settings_choose_area,,Choose an area to configure,Bereich zum Konfigurieren auswählen,
page_settings_focused_options,,Focused options for this page area,Gezielte Optionen für diesen Seitenbereich,
page_settings_header_description,,Wallpaper and custom header color,Hintergrundbild und benutzerdefinierte Kopfzeilenfarbe,
page_settings_custom_page_description,,"Name, subtitle, and navigation icon","Name, Untertitel und Navigationssymbol",
page_settings_badge_bar,,Badge bar,Badge-Leiste,
page_settings_badge_description,,"Visibility, alignment, and display options","Sichtbarkeit, Ausrichtung und Anzeigeoptionen",
page_settings_persons,,Persons,Personen,
page_settings_persons_description,,Visibility and ordering,Sichtbarkeit und Reihenfolge,
page_settings_configure,,Configure,Konfigurieren,
room_config_title,,Room configuration,Raumkonfiguration,
header_pill_left,,Left header pill,Linke Kopfzeilen-Schaltfläche,
header_pill_right,,Right header pill,Rechte Kopfzeilen-Schaltfläche,
alignment_split,,Split,Geteilt,
alignment_center,,Center,Zentriert,
weather_cloudy,,Cloudy,Bewölkt,
home_default_markdown_content,,# Markdown\nOpen this widget's settings in **edit mode** to write your own content.,"# Markdown\nÖffne im **Bearbeitungsmodus** die Einstellungen dieses Widgets, um eigene Inhalte zu schreiben.",\n = line break
home_settings_title,,Home settings,Startseiten-Einstellungen,
custom_page_settings_title,,%1$s settings,%1$s-Einstellungen,app fills in %1$s — keep them
home_empty,,This is the homepage. Add widgets by swiping down on the header and enabling edit mode.,"Dies ist die Startseite. Wische in der Kopfzeile nach unten und aktiviere den Bearbeitungsmodus, um Widgets hinzuzufügen.",
custom_page_empty,,This page is empty. Add widgets by swiping down on the header and enabling edit mode.,"Diese Seite ist leer. Wische in der Kopfzeile nach unten und aktiviere den Bearbeitungsmodus, um Widgets hinzuzufügen.",
select_camera_title,,Select camera,Kamera auswählen,
select_entity_title,,Select entity,Entität auswählen,
custom_camera_default_name,,Custom camera,Benutzerdefinierte Kamera,
rooms_settings_title,,Rooms settings,Raumeinstellungen,
rooms_empty,,The rooms view is empty. Swipe down on the header and enable edit mode to add floors and rooms.,"Die Raumansicht ist leer. Wische in der Kopfzeile nach unten und aktiviere den Bearbeitungsmodus, um Etagen und Räume hinzuzufügen.",
floor_expand,,Expand floor,Etage ausklappen,
floor_collapse,,Collapse floor,Etage einklappen,
floor_settings_title,,Floor,Etage,
floor_settings_subtitle,,"Identity, layout, and card style","Identität, Layout und Kartenstil",
universal_effects,,Effects,Effekte,
universal_open_door,,Open door,Tür öffnen,
universal_vacuum_dock,,Dock,Ladestation,
universal_start,,Start,Starten,
universal_pause,,Pause,Pause,
universal_stop,,Stop,Stoppen,
universal_locate,,Locate,Orten,
universal_room_number,,Room %1$d,Raum %1$d,app fills in %1$d — keep them
core_optional_display_name,,Optional display name override,Optionaler benutzerdefinierter Anzeigename,
core_media_paused_track,,Paused: %1$s,Pausiert: %1$s,app fills in %1$s — keep them
core_percent_value,,%1$d percent,%1$d Prozent,app fills in %1$d — keep them
core_current_humidity,,Current humidity,Aktuelle Luftfeuchtigkeit,
core_tank_water_level,,Tank / water level,Tank-/Wasserstand,
core_pm25,,PM2.5,PM2.5,
core_error_code,,Error code,Fehlercode,
core_bucket_full,,Bucket full,Behälter voll,
core_clean_filter,,Clean filter,Filter reinigen,
core_ionizer,,Ionizer,Ionisator,
core_pump,,Pump,Pumpe,
core_beep_on_command,,Beep on command,Signalton bei Befehl,
core_dawn,,Dawn,Morgendämmerung,
core_solar_noon,,Solar noon,Sonnenmittag,
core_dusk,,Dusk,Abenddämmerung,
core_icon_category_common,,Common,Allgemein,
core_icon_category_home,,Home,Zuhause,
core_icon_category_weather,,Weather,Wetter,
core_icon_category_lock,,Lock,Schloss,
core_icon_category_people,,People,Personen,
core_icon_category_auto,,Automotive,Automobil,
core_icon_category_music,,Music,Musik,
core_icon_category_battery,,Battery,Akku,
core_icon_category_nature,,Nature,Natur,
core_icon_category_places,,Places,Orte,
core_icon_category_food,,Food,Essen,
core_icon_category_navigation,,Navigation,Navigation,
core_icon_category_devices,,Devices,Geräte,
core_icon_category_map,,Map,Karte,
core_icon_category_media,,Media,Medien,
core_icon_category_communication,,Communication,Kommunikation,
core_icon_category_health,,Health,Gesundheit,
core_icon_category_vehicles,,Vehicles,Fahrzeuge,
core_icon_category_buildings,,Buildings,Gebäude,
core_icon_category_electrical,,Electrical,Elektrik,
core_icon_category_sport,,Sport,Sport,
core_icon_category_objects,,Objects,Objekte,
core_icon_category_commerce,,Commerce,Handel,
core_icon_category_games,,Games,Spiele,
core_icon_category_finance,,Finance,Finanzen,
background_notification_channel_general,,General,Allgemein,
background_location_channel_name,,Location sharing,Standortfreigabe,
background_location_channel_description,,Keeps your device location up to date in Home Assistant,Hält den Standort deines Geräts in Home Assistant aktuell,don't translate Home Assistant
background_location_notification_title,,Home Assistant location sharing,Standortfreigabe für Home Assistant,don't translate Home Assistant
background_location_notification_text,,Sharing your location with Home Assistant,Dein Standort wird mit Home Assistant geteilt,don't translate Home Assistant
background_push_channel_name,,Notification connection,Benachrichtigungsverbindung,
background_push_channel_description,,Keeps a background connection to Home Assistant for instant notifications,Hält für sofortige Benachrichtigungen im Hintergrund eine Verbindung zu Home Assistant,don't translate Home Assistant
background_push_notification_title,,Connected to Home Assistant,Mit Home Assistant verbunden,don't translate Home Assistant
background_push_notification_text,,Waiting for notifications,Warten auf Benachrichtigungen,
background_push_hide_action,,Hide this notification,Diese Benachrichtigung ausblenden,
button_style_centered,,Centered,Zentriert,
button_elements,,Elements,Elemente,
button_elements_description,,What appears on this button. Hide the name and state for an icon on its own.,Was auf dieser Schaltfläche angezeigt wird. Blenden Sie den Namen und den Status eines einzelnen Symbols aus.,
stack_elements_title,,Elements on every button in this stack,Elemente auf jeder Schaltfläche in diesem Stapel,
stack_elements_description,,"These apply to the whole stack, not to one button. Turning something off here hides it on every button in the stack; leaving it on lets each button decide for itself in its own settings.","Diese gelten für den gesamten Stapel, nicht für eine Schaltfläche. Wenn Sie hier etwas deaktivieren, wird es auf jeder Schaltfläche im Stapel ausgeblendet. Wenn Sie es eingeschaltet lassen, kann jede Taste ihre eigenen Einstellungen vornehmen.",
button_element_icon,,Icon,Symbol,
button_element_name,,Name,Name,
button_element_state,,State,Zustand,
stack_show_title,,Show name,Namen anzeigen,
stack_show_title_description,,Turn off for a stack with no heading at all.,Schalten Sie die Option für einen Stapel ohne Überschrift aus.,
stack_show_icon,,Show icon,Symbol anzeigen,
stack_show_icon_description,,The icon beside the heading.,Das Symbol neben der Überschrift.,
stack_center_title,,Center the heading,Zentrieren Sie die Überschrift,
stack_center_title_description,,Puts the icon and name in the middle instead of against the left edge.,Platziert das Symbol und den Namen in der Mitte statt am linken Rand.,
cr_state_on,,On,Ein,
cr_state_off,,Off,Aus,
cr_open,,Open,Öffnen,
cr_close,,Close,Schließen,
cr_stop,,Stop,Stoppen,
cr_closed,,Closed,Geschlossen,
cr_opening,,Opening,Wird geöffnet,
cr_closing,,Closing,Wird geschlossen,
cr_locked,,Locked,Verriegelt,
cr_unlocked,,Unlocked,Entriegelt,
cr_unavailable,,Unavailable,Nicht verfügbar,
cr_unknown,,Unknown,Unbekannt,
cr_idle,,Idle,Inaktiv,
cr_home,,Home,Zu Hause,
cr_away,,Away,Abwesend,
cr_cleaning,,Cleaning,Reinigung läuft,
cr_returning,,Returning,Kehrt zurück,
cr_paused,,Paused,Pausiert,
cr_error,,Error,Fehler,
cr_playing,,Playing,Wiedergabe läuft,
cr_buffering,,Buffering,Wird gepuffert,
cr_standby,,Standby,Standby,
cr_humidifying,,Humidifying,Befeuchtet,
cr_drying,,Drying,Entfeuchtet,
cr_detected,,Detected,Erkannt,
cr_clear,,Clear,Frei,
cr_problem,,Problem,Problem,
cr_ok,,OK,OK,
cr_low,,Low,Niedrig,
cr_normal,,Normal,Normal,
cr_connected,,Connected,Verbunden,
cr_disconnected,,Disconnected,Getrennt,
cr_plugged_in,,Plugged in,Eingesteckt,
cr_unplugged,,Unplugged,Ausgesteckt,
cr_wet,,Wet,Nass,
cr_dry,,Dry,Trocken,
cr_none,,None,Keine,
cr_any,,Any,Beliebig,
cr_remove,,Remove,Entfernen,
cr_restore,,Restore,Wiederherstellen,
cr_general,,General,Allgemein,
cr_identity,,Identity,Identität,
cr_appearance,,Appearance,Darstellung,
cr_layout,,Layout,Layout,
cr_behavior,,Behavior,Verhalten,
cr_profiles,,Profiles,Profile,
cr_playback,,Playback,Wiedergabe,
cr_content,,Content,Inhalt,
cr_actions,,Actions,Aktionen,
cr_protection,,Protection,Schutz,
cr_power,,Power,Ein/Aus,
cr_brightness,,Brightness,Helligkeit,
cr_temperature,,Temperature,Temperatur,
cr_color,,Color,Farbe,
cr_min,,Min,Min.,
cr_avg,,Avg,Durchschn.,
cr_max,,Max,Max.,
cr_now,,Now,Jetzt,
cr_lowest,,Lowest,Niedrigster Wert,
cr_average,,Average,Durchschnitt,
cr_highest,,Highest,Höchster Wert,
cr_live,,Live,Live,
cr_once,,Once,Einmalig,
cr_daily,,Daily,Täglich,
cr_weekly,,Weekly,Wöchentlich,
cr_monthly,,Monthly,Monatlich,
cr_yearly,,Yearly,Jährlich,
cr_action_tap,,Tap,Tippen,
cr_action_double_tap,,Double tap,Doppeltippen,
cr_action_hold,,Hold,Gedrückt halten,
cr_mode,,Mode,Modus,
cr_mode_auto,,Auto,Automatisch,
cr_mode_heat,,Heat,Heizen,
cr_mode_cool,,Cool,Kühlen,
cr_mode_heat_cool,,Heat/cool,Heizen/Kühlen,
cr_mode_dry,,Dry,Entfeuchten,
cr_mode_fan_only,,Fan only,Nur Lüfter,
cr_mode_low,,Low,Niedrig,
cr_mode_medium,,Medium,Mittel,
cr_mode_high,,High,Hoch,
cr_mode_quiet,,Quiet,Leise,
cr_mode_boost,,Boost,Boost,
cr_mode_eco,,Eco,Eco,
cr_mode_sleep,,Sleep,Schlafmodus,
cr_mode_manual,,Manual,Manuell,
cr_mode_vertical,,Vertical,Vertikal,
cr_mode_horizontal,,Horizontal,Horizontal,
cr_mode_both,,Both,Beide,
cr_mode_up,,Up,Oben,
cr_mode_down,,Down,Unten,
cr_mode_center,,Center,Mitte,
cr_mode_left,,Left,Links,
cr_mode_right,,Right,Rechts,
cr_climate_fan,,Fan,Lüfter,
cr_climate_vertical_airflow,,Vertical airflow,Vertikaler Luftstrom,
cr_climate_horizontal_airflow,,Horizontal airflow,Horizontaler Luftstrom,
cr_climate_preset,,Preset,Voreinstellung,
cr_fan_speed,,Fan speed,Lüftergeschwindigkeit,
cr_speed,,Speed,Geschwindigkeit,
cr_lower_target,,Lower target,Sollwert senken,
cr_raise_target,,Raise target,Sollwert erhöhen,
cr_climate_temperature,,Temperature,Temperatur,
cr_climate_all_temperature_sensors,,All temperature sensors,Alle Temperatursensoren,
cr_climate_outside,,Outside,Außen,
cr_climate_outside_summary,,"Outdoor temperature, humidity, and pressure","Außentemperatur, Luftfeuchtigkeit und Luftdruck",
cr_climate_humidity,,Humidity,Luftfeuchtigkeit,
cr_climate_all_humidity_sensors,,All humidity sensors,Alle Feuchtigkeitssensoren,
cr_climate_air_pressure,,Air pressure,Luftdruck,
cr_climate_all_pressure_sensors,,All air-pressure sensors,Alle Luftdrucksensoren,
cr_climate_co2,,CO₂,CO₂,
cr_climate_carbon_dioxide_sensors,,Carbon-dioxide sensors,Kohlendioxidsensoren,
cr_climate_air_quality,,Air quality,Luftqualität,
cr_climate_air_quality_summary,,"Particulates, AQI, VOCs, and gases","Feinstaub, AQI, VOC und Gase",
cr_climate_entities,,Climate entities,Klima-Entitäten,
cr_climate_settings,,Climate settings,Klimaeinstellungen,
cr_empty_climate_view,,No climate data is available yet.,Noch keine Klimadaten verfügbar.,
cr_climate_fans,,Fans,Lüfter,
cr_climate_air_purifiers,,Air purifiers,Luftreiniger,
cr_climate_humidifiers,,Humidifiers,Luftbefeuchter,
cr_temperature_sensors,,Temperature sensors,Temperatursensoren,
cr_devices_active,,Devices active,Aktive Geräte,
cr_active_of_total,,%1$d of %2$d active,%1$d von %2$d aktiv,app fills in %1$d %2$d — keep them
cr_no_search_active,,No active search · %1$s,Keine aktive Suche · %1$s,app fills in %1$s — keep them
cr_collapse_search,,Collapse search,Suche einklappen,
cr_expand_search,,Expand search,Suche ausklappen,
cr_custom_order,,Custom order,Eigene Reihenfolge,
cr_name_a_z,,Name A–Z,Name A–Z,
cr_name_z_a,,Name Z–A,Name Z–A,
cr_climate_device,,Climate device,Klimagerät,
cr_climate_device_subtitle,,"Name, icon, card style, and width","Name, Symbol, Kartenstil und Breite",
cr_widget_requires_f1,,"Needs the F1 Sensor integration, which was not found on your Home Assistant","Benötigt die F1-Sensor-Integration, die auf Ihrem Home Assistant nicht gefunden wurde",don't translate Home Assistant
cr_widget_requires_parcels,,"Needs a parcel integration, and none was found on your Home Assistant",Benötigt eine Paketintegration und es wurde keine auf Ihrem Home Assistant gefunden,don't translate Home Assistant
cr_widget_requires_waste,,"Needs a waste collection integration, and none was found on your Home Assistant","Benötigt eine Abfallsammelintegration, und auf Ihrem Home Assistant wurde keine gefunden.",don't translate Home Assistant
cr_people_here_title,,Who is here,Wer ist hier?,
cr_people_here_empty,,Nobody is being tracked in this room right now.,In diesem Raum wird derzeit niemand verfolgt.,
cr_people_here_unknown_room,,Room unknown,Raum unbekannt,
cr_button_exclude_counters,,Leave out of counters,Lassen Sie die Theken außen vor,
cr_button_exclude_counters_hint,,"Keep the button, but stop it counting towards this room’s Lights and Devices totals","Behalten Sie die Taste bei, aber stoppen Sie, dass sie auf die Gesamtzahl der Lichter und Geräte dieses Raums angerechnet wird",
