key,item,english,translation,notes
settings_subtitle_fonts,,"Size, weight, and typeface readability","Koko, paino ja kirjasintyypin luettavuus",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,"Valitse, mitkä kohteet ovat aina käden ulottuvilla",
settings_subtitle_media_players,,Names and mini-player visibility,Nimet ja minipelaajien näkyvyys,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push-toimitus, historia ja palvelukäyttäytyminen",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Suojaa tai siirrä kojelautakokoonpanosi,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Lapsilukko, hallintapaneelin jakaminen ja vastaanottajan käyttöoikeudet",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Projekti, tekniikka ja ihmiset HKI 7:n takana",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Avoimen lähdekoodin yhteisön ydin ja valinnaiset premium-materiaalit,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Tapoja auttaa HKI 7:ää kasvamaan ostamatta Premiumia,don't translate HKI 7
notification_channel_general,,General,Kenraali,
location_channel_name,,Location sharing,Sijainnin jakaminen,
location_notification_title,,Home Assistant location,Home Assistant sijainti,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Sijaintisi jakaminen Home Assistantin kanssa,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Ilmoitusyhteys,
push_connection_notification_title,,Connected to Home Assistant,Yhdistetty Home Assistantiin,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Kuuntelee ilmoituksia,
parcel_title,,Parcels,Paketit,
parcel_generic_carrier,,Carrier,Kuljettaja,
parcel_incoming,,Incoming,Saapuva,
parcel_delivered,,Delivered,Toimitettu,
parcel_outgoing,,Outgoing,Lähtevät,
parcel_letters,,Letters,Kirjeitä,
parcel_mail,,Mail,Mail,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d saapuva · %2$d lähtevä,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d saapuva · %2$d lähtevä · %3$d kirjainta,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d saapuva · %2$d lähtevä · %3$d kirjainta,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d saapuva · %2$d lähtevä · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Seurantahistoria,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Paketin matka ja tilapäivitykset,
parcel_choose_carrier_account,,Choose a carrier account,Valitse operaattoritili,
parcel_empty_tab,,No %1$s parcels.,Ei %1$s paketteja.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Ei saapuvia paketteja.,
parcel_no_delivered,,No delivered parcels.,Ei toimitettuja paketteja.,
parcel_no_outgoing,,No outgoing parcels.,Ei lähteviä paketteja.,
parcel_stage_registered,,Registered,Rekisteröity,
parcel_stage_sorting,,Sorting,Lajittelu,
parcel_stage_on_the_way,,On the way,Matkalla,
parcel_unknown_status,,Unknown status,Tuntematon tila,
parcel_status_in_transit,,In transit,Kuljetuksessa,
parcel_status_out_for_delivery,,Out for delivery,Toimitettavaksi,
parcel_status_at_pickup_point,,Ready at pickup point,Valmiina noutopisteessä,
parcel_status_ready_to_send,,Ready to send,Valmiina lähetettäväksi,
parcel_letter_preview,,Letter preview,Kirjeen esikatselu,
parcel_carriers,,Carriers,Kantajat,
parcel_track_new,,Track a new %1$s parcel by number,Seuraa uutta %1$s pakettia numeron mukaan,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Valitse operaattori,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Operaattoritilit, yhdistäminen ja ulkoasu",
parcel_settings_accounts,,Accounts,Tilit,
parcel_settings_organization,,Organization,Organisaatio,
parcel_settings_appearance,,Appearance,Ulkonäkö,
action_remove,,Remove,Poistaa,
notification_delete,,Delete notification,Poista ilmoitus,
notification_mark_all_read,,Mark all as read,Merkitse kaikki luetuiksi,
notification_mark_all_unread,,Mark all as unread,Merkitse kaikki lukemattomiksi,
notification_delete_all,,Delete all,Poista kaikki,
notification_delete_all_archived,,Delete all archived,Poista kaikki arkistoidut,
notification_unread,,Unread,Lukematon,
notification_history,,History,Historia,
notification_mark_unread,,Mark as unread,Merkitse lukemattomaksi,
notification_mark_read,,Mark as read,Merkitse luetuksi,
notification_archive,,Archive,Arkisto,
notification_unarchive,,Unarchive,Poista arkistosta,
notification_delete_action,,Delete,Poistaa,
entity_search_select_items,,Select items,Valitse kohteita,
entity_search_choose_one,,Search and choose one entity,Hae ja valitse yksi kokonaisuus,
entity_search_choose_multiple,,Search and select one or more entities,Hae ja valitse yksi tai useampi kokonaisuus,
global_search_title,,Search,Haku,
global_search_subtitle,,Find and control any Home Assistant device or entity,Etsi ja ohjaa mitä tahansa Home Assistant -laitetta tai -yksikköä,don't translate Home Assistant
global_search_clear,,Clear search,Tyhjennä haku,
global_search_no_devices,,No matching devices.,Ei vastaavia laitteita.,
global_search_no_entities,,No matching entities.,Ei vastaavia kokonaisuuksia.,
security_title,,Security,Turvallisuus,
security_subtitle,,Home status and activity,Kodin tila ja toiminta,
security_settings,,Security settings,Suojausasetukset,
security_entities,,Security entities,Turvallisuusyksiköt,
security_reimport,,Re-import,Tuo uudelleen,
security_group_doors,,Doors,Ovet,
security_group_doors_subtitle,,Door contacts,Oven kontaktit,
security_group_windows,,Windows,Windows,
security_group_windows_subtitle,,Window contacts,Ikkunan yhteystiedot,
security_group_openings,,Openings,Aukiot,
security_group_openings_subtitle,,Garage doors and other openings,Autotallin ovet ja muut aukot,
security_group_garage_doors,,Garage doors,Autotallin ovet,
security_group_garage_doors_subtitle,,Garage door covers,Autotallin oven kannet,
security_group_covers,,Covers,Kannet,
security_group_covers_subtitle,,"Blinds, shutters, and gates","Kaihtimet, ikkunaluukut ja portit",
security_group_locks,,Locks,Lukot,
security_group_locks_subtitle,,Door and gate locks,Ovien ja porttien lukot,
security_group_motion,,Motion,Liike,
security_group_motion_subtitle,,Motion detection,Liiketunnistus,
security_group_presence,,Presence,Läsnäolo,
security_group_presence_subtitle,,Occupancy sensors,Läsnäoloanturit,
security_group_fire,,Fire and temperature,Tuli ja lämpötila,
security_group_fire_subtitle,,"Fire, heat, cold, and safety alarms","Palo-, lämpö-, kylmä- ja turvahälyttimet",
security_group_smoke,,Smoke,Savu,
security_group_smoke_subtitle,,Smoke detectors,Savunilmaisimet,
security_group_gas,,Gas,Kaasu,
security_group_gas_subtitle,,Combustible gas sensors,Palavien kaasujen anturit,
security_group_co2,,CO / CO₂,CO/CO₂,
security_group_co2_subtitle,,Carbon monoxide and carbon dioxide sensors,Häkä- ja hiilidioksidianturit,
security_group_moisture,,Leaks,Vuotoja,
security_group_moisture_subtitle,,Moisture and water leaks,Kosteutta ja vettä vuotaa,
security_group_sound,,Sound,Ääni,
security_group_sound_subtitle,,Sound and glass-break sensors,Ääni- ja lasinrikkoanturit,
security_group_light,,Light detection,Valontunnistus,
security_group_light_subtitle,,Light and beam sensors,Valo- ja sädeanturit,
security_group_alarms,,Alarm systems,Hälytysjärjestelmät,
security_group_alarms_subtitle,,Alarm control panels,Hälytysten ohjauspaneelit,
security_group_cameras,,Cameras,Kamerat,
security_group_cameras_subtitle,,Camera feeds,Kameran syötteet,
security_no_search_active,,No search active · %1$s,Ei aktiivista hakua · %1$s,app fills in %1$s — keep them
security_status_alert,,Security alert,Turvahälytys,
security_status_alarm_pending,,Alarm pending,Hälytys odottaa,
security_status_changing_alarm,,Changing alarm mode,Hälytystilan vaihtaminen,
security_status_needs_attention,,Needs attention,Vaatii huomiota,
security_status_motion,,Motion detected,Liike havaittu,
security_status_sensor_activity,,Sensor activity,Anturin toiminta,
security_status_alarm_unavailable,,Alarm unavailable,Hälytys ei ole käytettävissä,
security_status_devices_unavailable,,Devices unavailable,Laitteet eivät ole käytettävissä,
security_status_cameras_offline,,Cameras offline,Kamerat offline-tilassa,
security_status_all_secure,,All secure,Kaikki turvassa,
security_status_alarm_disarmed,,Alarm disarmed,Hälytin pois päältä,
security_status_all_clear,,All clear,Kaikki selvä,
security_status_no_data,,No security data,Ei turvatietoja,
security_metric_openings,,Openings,Aukiot,
security_metric_locked,,Locked,Lukittu,
security_metric_cameras_online,,Cameras online,Kamerat verkossa,
security_card_title,,Security card,Turvakortti,
security_card_subtitle,,"Name, layout, and card appearance","Nimi, asettelu ja kortin ulkoasu",
security_stat_total,,Total,Kokonais,
security_stat_active,,Active,Aktiivinen,
security_stat_clear,,Clear,Selkeä,
security_cover_open,,Open,Avata,
security_cover_stop,,Stop,Stop,
security_cover_close,,Close,Lähellä,
security_restore,,Restore,Palauttaa,
security_empty,,This is an empty security view. Swipe down on the header and open Security settings to add entities manually.,Tämä on tyhjä suojausnäkymä. Pyyhkäise alas otsikossa ja avaa Suojausasetukset lisätäksesi kokonaisuuksia manuaalisesti.,
connection_stopping_for_restart,,Stopping for restart…,Pysäytetään uudelleenkäynnistystä varten…,
connection_starting,,Home Assistant is starting…,Home Assistant alkaa…,don't translate Home Assistant
connection_restoring_dashboard,,Restoring your dashboard…,Palautetaan hallintapaneelia…,
connection_restarting,,Home Assistant is restarting…,Home Assistant käynnistyy uudelleen…,don't translate Home Assistant
connection_auto_generating,,Auto-generating rooms and widgets…,Luodaan automaattisesti huoneita ja widgetejä…,
connection_reconnecting,,Reconnecting to Home Assistant…,Yhdistetään uudelleen Home Assistantiin…,don't translate Home Assistant
connection_unavailable_retrying,,Unavailable · Retrying…,Ei saatavilla · Yritetään uudelleen…,
connection_paused,,Connection paused,Yhteys keskeytetty,
connection_connected,,Connected,Yhdistetty,
connection_server_not_found,,Server address could not be found,Palvelimen osoitetta ei löytynyt,
connection_timed_out,,Connection timed out,Yhteys aikakatkaistiin,
connection_no_route,,No network route to Home Assistant,Ei verkkoreittiä Home Assistantille,don't translate Home Assistant
connection_could_not_connect,,Could not connect to Home Assistant,Ei voitu muodostaa yhteyttä Home Assistantiin,don't translate Home Assistant
connection_secure_failed,,Secure connection failed,Suojattu yhteys epäonnistui,
connection_session_expired_refreshing,,Session expired · Refreshing login…,Istunto vanhentunut · Päivitetään kirjautumista…,
connection_interrupted,,Connection was interrupted,Yhteys katkesi,
connection_error_title,,Connection error,Yhteysvirhe,
connection_all_systems_normal,,All systems normal,Kaikki järjestelmät normaalit,
action_undo,,Undo,Kumoa,
action_redo,,Redo,Toista,
connection_route_local,,Local,Paikallinen,
connection_route_nabu_casa,,Nabu Casa,Nabu Casa,don't translate Nabu Casa
connection_route_external,,External,Ulkoinen,
settings_connection_via,,Connected via %1$s,Yhdistetty kautta %1$s,app fills in %1$s — keep them
settings_connection_unknown,,Unknown,Tuntematon,
settings_connection_connecting,,Connecting…,Yhdistetään…,
settings_this_home,,this home,tämä koti,
settings_local_network_allowed,,Allowed,Sallittu,
settings_local_network_not_allowed,,Not allowed — Home Assistant cannot be reached directly on your Wi-Fi,Ei sallittu — Home Assistant ei ole tavoitettavissa suoraan Wi-Fi-verkostasi,don't translate Home Assistant
settings_current_wifi,,Current Wi-Fi,Nykyinen Wi-Fi,
settings_wifi_unavailable,,Not connected or location permission is missing,Ei yhteyttä tai sijaintilupa puuttuu,
settings_just_now,,just now,juuri nyt,
settings_primary_app_language,,Primary application language,Ensisijainen sovelluskieli,
settings_android_build_configuration,,Android resources and build configuration,Android-resurssit ja kokoonpanoasetukset,
page_settings_default_title,,Page settings,Sivun asetukset,
page_settings_choose_area,,Choose an area to configure,Valitse määritettävä alue,
page_settings_focused_options,,Focused options for this page area,Kohdistetut asetukset tälle sivualueelle,
page_settings_header_description,,Wallpaper and custom header color,Taustakuva ja mukautettu otsikon väri,
page_settings_custom_page_description,,"Name, subtitle, and navigation icon","Nimi, tekstitys ja navigointikuvake",
page_settings_badge_bar,,Badge bar,Merkkipalkki,
page_settings_badge_description,,"Visibility, alignment, and display options","Näkyvyys, kohdistus ja näyttöasetukset",
page_settings_persons,,Persons,Henkilöt,
page_settings_persons_description,,Visibility and ordering,Näkyvyys ja tilaus,
page_settings_configure,,Configure,Määritä,
room_config_title,,Room configuration,Huoneen kokoonpano,
header_pill_left,,Left header pill,Vasen otsikkopilleri,
header_pill_right,,Right header pill,Oikea otsikkopilleri,
alignment_split,,Split,Jakaa,
alignment_center,,Center,Keskusta,
weather_cloudy,,Cloudy,Pilvinen,
home_default_markdown_content,,# Markdown\nOpen this widget's settings in **edit mode** to write your own content.,# Markdown\nAvaa tämän widgetin asetukset **muokkaustilassa** kirjoittaaksesi omaa sisältöäsi.,\n = line break
home_settings_title,,Home settings,Kotiasetukset,
custom_page_settings_title,,%1$s settings,%1$s asetukset,app fills in %1$s — keep them
home_empty,,This is the homepage. Add widgets by swiping down on the header and enabling edit mode.,Tämä on kotisivu. Lisää widgetejä pyyhkäisemällä alas otsikossa ja ottamalla muokkaustila käyttöön.,
custom_page_empty,,This page is empty. Add widgets by swiping down on the header and enabling edit mode.,Tämä sivu on tyhjä. Lisää widgetejä pyyhkäisemällä alas otsikossa ja ottamalla muokkaustila käyttöön.,
select_camera_title,,Select camera,Valitse kamera,
select_entity_title,,Select entity,Valitse entiteetti,
custom_camera_default_name,,Custom camera,Mukautettu kamera,
rooms_settings_title,,Rooms settings,Huoneiden asetukset,
rooms_empty,,The rooms view is empty. Swipe down on the header and enable edit mode to add floors and rooms.,Huonenäkymä on tyhjä. Pyyhkäise alas otsikossa ja ota muokkaustila käyttöön lisätäksesi kerroksia ja huoneita.,
floor_expand,,Expand floor,Laajenna lattiaa,
floor_collapse,,Collapse floor,Kokoa lattia,
floor_settings_title,,Floor,Kerros,
floor_settings_subtitle,,"Identity, layout, and card style","Identiteetti, ulkoasu ja korttityyli",
universal_effects,,Effects,Tehosteet,
universal_open_door,,Open door,Avaa ovi,
universal_vacuum_dock,,Dock,Telakka,
universal_start,,Start,Aloita,
universal_pause,,Pause,Tauko,
universal_stop,,Stop,Stop,
universal_locate,,Locate,Paikantaa,
universal_room_number,,Room %1$d,Huone %1$d,app fills in %1$d — keep them
core_optional_display_name,,Optional display name override,Valinnainen näyttönimen ohitus,
core_media_paused_track,,Paused: %1$s,Keskeytetty: %1$s,app fills in %1$s — keep them
core_percent_value,,%1$d percent,%1$d prosenttia,app fills in %1$d — keep them
core_current_humidity,,Current humidity,Nykyinen kosteus,
core_tank_water_level,,Tank / water level,Säiliön/veden taso,
core_pm25,,PM2.5,"PM2,5",
core_error_code,,Error code,Virhekoodi,
core_bucket_full,,Bucket full,Kauha täynnä,
core_clean_filter,,Clean filter,Puhdista suodatin,
core_ionizer,,Ionizer,Ionisaattori,
core_pump,,Pump,Pumppu,
core_beep_on_command,,Beep on command,Piippaus käskystä,
core_dawn,,Dawn,Aamunkoitto,
core_solar_noon,,Solar noon,Aurinkoinen keskipäivä,
core_dusk,,Dusk,Hämärä,
core_icon_category_common,,Common,Yleistä,
core_icon_category_home,,Home,Kotiin,
core_icon_category_weather,,Weather,Sää,
core_icon_category_lock,,Lock,Lukko,
core_icon_category_people,,People,Ihmiset,
core_icon_category_auto,,Automotive,Autoteollisuus,
core_icon_category_music,,Music,Musiikki,
core_icon_category_battery,,Battery,Akku,
core_icon_category_nature,,Nature,Luonto,
core_icon_category_places,,Places,Paikat,
core_icon_category_food,,Food,Ruokaa,
core_icon_category_navigation,,Navigation,Navigointi,
core_icon_category_devices,,Devices,Laitteet,
core_icon_category_map,,Map,Kartta,
core_icon_category_media,,Media,Media,
core_icon_category_communication,,Communication,Viestintä,
core_icon_category_health,,Health,Terveys,
core_icon_category_vehicles,,Vehicles,Ajoneuvot,
core_icon_category_buildings,,Buildings,Rakennukset,
core_icon_category_electrical,,Electrical,Sähköinen,
core_icon_category_sport,,Sport,Urheilu,
core_icon_category_objects,,Objects,Objektit,
core_icon_category_commerce,,Commerce,Kauppa,
core_icon_category_games,,Games,Pelit,
core_icon_category_finance,,Finance,Rahoitus,
background_notification_channel_general,,General,Kenraali,
background_location_channel_name,,Location sharing,Sijainnin jakaminen,
background_location_channel_description,,Keeps your device location up to date in Home Assistant,Pitää laitteesi sijainnin ajan tasalla Home Assistantissa,don't translate Home Assistant
background_location_notification_title,,Home Assistant location sharing,Home Assistantin sijainnin jakaminen,don't translate Home Assistant
background_location_notification_text,,Sharing your location with Home Assistant,Sijaintisi jakaminen Home Assistantin kanssa,don't translate Home Assistant
background_push_channel_name,,Notification connection,Ilmoitusyhteys,
background_push_channel_description,,Keeps a background connection to Home Assistant for instant notifications,Säilyttää taustayhteyden Home Assistantiin välittömiä ilmoituksia varten,don't translate Home Assistant
background_push_notification_title,,Connected to Home Assistant,Yhdistetty Home Assistantiin,don't translate Home Assistant
background_push_notification_text,,Waiting for notifications,Odotetaan ilmoituksia,
background_push_hide_action,,Hide this notification,Piilota tämä ilmoitus,
button_style_centered,,Centered,Keskitetty,
button_elements,,Elements,Elementit,
button_elements_description,,What appears on this button. Hide the name and state for an icon on its own.,Mitä tässä painikkeessa näkyy. Piilota kuvakkeen nimi ja tila yksinään.,
stack_elements_title,,Elements on every button in this stack,Tämän pinon jokaisen painikkeen elementit,
stack_elements_description,,"These apply to the whole stack, not to one button. Turning something off here hides it on every button in the stack; leaving it on lets each button decide for itself in its own settings.","Nämä koskevat koko pinoa, eivät yhtä painiketta. Jos jotain kytketään pois päältä, se piilottaa sen jokaisesta pinon painikkeesta; sen jättäminen päälle antaa jokaisen painikkeen päättää itse omissa asetuksissaan.",
button_element_icon,,Icon,Kuvake,
button_element_name,,Name,Nimi,
button_element_state,,State,Osavaltio,
stack_show_title,,Show name,Näytä nimi,
stack_show_title_description,,Turn off for a stack with no heading at all.,"Kytke pois päältä pinossa, jossa ei ole otsikkoa.",
stack_show_icon,,Show icon,Näytä kuvake,
stack_show_icon_description,,The icon beside the heading.,Otsikon vieressä oleva kuvake.,
stack_center_title,,Center the heading,Keskitä otsikko,
stack_center_title_description,,Puts the icon and name in the middle instead of against the left edge.,Sijoittaa kuvakkeen ja nimen keskelle vasenta reunaa vasten.,
cr_state_on,,On,Päällä,
cr_state_off,,Off,Pois,
cr_open,,Open,Avata,
cr_close,,Close,Lähellä,
cr_stop,,Stop,Stop,
cr_closed,,Closed,Suljettu,
cr_opening,,Opening,Avaaminen,
cr_closing,,Closing,Sulkeminen,
cr_locked,,Locked,Lukittu,
cr_unlocked,,Unlocked,Avattu,
cr_unavailable,,Unavailable,Ei saatavilla,
cr_unknown,,Unknown,Tuntematon,
cr_idle,,Idle,Tyhjäkäynti,
cr_home,,Home,Kotiin,
cr_away,,Away,Pois,
cr_cleaning,,Cleaning,Puhdistus,
cr_returning,,Returning,Paluu,
cr_paused,,Paused,Keskeytetty,
cr_error,,Error,Virhe,
cr_playing,,Playing,Pelaaminen,
cr_buffering,,Buffering,Puskurointi,
cr_standby,,Standby,Valmiustila,
cr_humidifying,,Humidifying,Kosteuttava,
cr_drying,,Drying,Kuivaus,
cr_detected,,Detected,Havaittu,
cr_clear,,Clear,Selkeä,
cr_problem,,Problem,Ongelma,
cr_ok,,OK,OK,
cr_low,,Low,Matala,
cr_normal,,Normal,Normaali,
cr_connected,,Connected,Yhdistetty,
cr_disconnected,,Disconnected,Yhteys katkaistu,
cr_plugged_in,,Plugged in,kytkettynä,
cr_unplugged,,Unplugged,Irrotettu,
cr_wet,,Wet,Märkä,
cr_dry,,Dry,Kuiva,
cr_none,,None,Ei mitään,
cr_any,,Any,Mikä tahansa,
cr_remove,,Remove,Poistaa,
cr_restore,,Restore,Palauttaa,
cr_general,,General,Kenraali,
cr_identity,,Identity,Identiteetti,
cr_appearance,,Appearance,Ulkonäkö,
cr_layout,,Layout,Layout,
cr_behavior,,Behavior,Käyttäytyminen,
cr_profiles,,Profiles,Profiilit,
cr_playback,,Playback,Toisto,
cr_content,,Content,Sisältö,
cr_actions,,Actions,Toiminnot,
cr_protection,,Protection,Suojaus,
cr_power,,Power,Tehoa,
cr_brightness,,Brightness,Kirkkaus,
cr_temperature,,Temperature,Lämpötila,
cr_color,,Color,Väri,
cr_min,,Min,Min,
cr_avg,,Avg,Keskim,
cr_max,,Max,Max,
cr_now,,Now,Nyt,
cr_lowest,,Lowest,Alin,
cr_average,,Average,Keskimäärin,
cr_highest,,Highest,Korkein,
cr_live,,Live,Elää,
cr_once,,Once,Kerran,
cr_daily,,Daily,Päivittäin,
cr_weekly,,Weekly,Viikoittain,
cr_monthly,,Monthly,Kuukausittain,
cr_yearly,,Yearly,Vuosittain,
cr_action_tap,,Tap,Napauta,
cr_action_double_tap,,Double tap,Kaksoisnapauta,
cr_action_hold,,Hold,Pidä,
cr_mode,,Mode,tila,
cr_mode_auto,,Auto,Auto,
cr_mode_heat,,Heat,Lämpö,
cr_mode_cool,,Cool,Viileä,
cr_mode_heat_cool,,Heat/cool,Kuumenna/jäähdyttää,
cr_mode_dry,,Dry,Kuiva,
cr_mode_fan_only,,Fan only,Vain tuuletin,
cr_mode_low,,Low,Matala,
cr_mode_medium,,Medium,Keskikokoinen,
cr_mode_high,,High,Korkea,
cr_mode_quiet,,Quiet,Hiljainen,
cr_mode_boost,,Boost,Tehosta,
cr_mode_eco,,Eco,Eco,
cr_mode_sleep,,Sleep,Nukkua,
cr_mode_manual,,Manual,Manuaalinen,
cr_mode_vertical,,Vertical,Pystysuora,
cr_mode_horizontal,,Horizontal,Vaakasuora,
cr_mode_both,,Both,Molemmat,
cr_mode_up,,Up,Ylös,
cr_mode_down,,Down,Alas,
cr_mode_center,,Center,Keskusta,
cr_mode_left,,Left,Vasen,
cr_mode_right,,Right,Oikein,
cr_climate_fan,,Fan,Tuuletin,
cr_climate_vertical_airflow,,Vertical airflow,Pystysuuntainen ilmavirtaus,
cr_climate_horizontal_airflow,,Horizontal airflow,Vaakasuuntainen ilmavirtaus,
cr_climate_preset,,Preset,Esiasetus,
cr_fan_speed,,Fan speed,Tuulettimen nopeus,
cr_speed,,Speed,Nopeus,
cr_lower_target,,Lower target,Alempi tavoite,
cr_raise_target,,Raise target,Nosta tavoitetta,
cr_climate_temperature,,Temperature,Lämpötila,
cr_climate_all_temperature_sensors,,All temperature sensors,Kaikki lämpötila-anturit,
cr_climate_outside,,Outside,Ulkopuolella,
cr_climate_outside_summary,,"Outdoor temperature, humidity, and pressure","Ulkolämpötila, kosteus ja paine",
cr_climate_humidity,,Humidity,Kosteus,
cr_climate_all_humidity_sensors,,All humidity sensors,Kaikki kosteusanturit,
cr_climate_air_pressure,,Air pressure,Ilmanpaine,
cr_climate_all_pressure_sensors,,All air-pressure sensors,Kaikki ilmanpaineanturit,
cr_climate_co2,,CO₂,CO₂,
cr_climate_carbon_dioxide_sensors,,Carbon-dioxide sensors,Hiilidioksidianturit,
cr_climate_air_quality,,Air quality,Ilmanlaatu,
cr_climate_air_quality_summary,,"Particulates, AQI, VOCs, and gases","Hiukkaset, AQI, VOC-yhdisteet ja kaasut",
cr_climate_entities,,Climate entities,Ilmastokokonaisuudet,
cr_climate_settings,,Climate settings,Ilmastoasetukset,
cr_empty_climate_view,,No climate data is available yet.,Ilmastotietoja ei ole vielä saatavilla.,
cr_climate_fans,,Fans,Fanit,
cr_climate_air_purifiers,,Air purifiers,Ilmanpuhdistimet,
cr_climate_humidifiers,,Humidifiers,Ilmankostuttimet,
cr_temperature_sensors,,Temperature sensors,Lämpötila-anturit,
cr_devices_active,,Devices active,Laitteet aktiivisia,
cr_active_of_total,,%1$d of %2$d active,%1$d / %2$d aktiivinen,app fills in %1$d %2$d — keep them
cr_no_search_active,,No active search · %1$s,Ei aktiivista hakua · %1$s,app fills in %1$s — keep them
cr_collapse_search,,Collapse search,Tiivistä haku,
cr_expand_search,,Expand search,Laajenna haku,
cr_custom_order,,Custom order,Mukautettu tilaus,
cr_name_a_z,,Name A–Z,Nimi A-Z,
cr_name_z_a,,Name Z–A,Nimi Z-A,
cr_climate_device,,Climate device,Ilmastolaite,
cr_climate_device_subtitle,,"Name, icon, card style, and width","Nimi, kuvake, kortin tyyli ja leveys",
cr_widget_requires_f1,,"Needs the F1 Sensor integration, which was not found on your Home Assistant","Tarvitsee F1-anturin integroinnin, jota ei löytynyt laitteestasi Home Assistant",don't translate Home Assistant
cr_widget_requires_parcels,,"Needs a parcel integration, and none was found on your Home Assistant","Tarvitsee paketin integroinnin, eikä Home Assistant-laitteestasi löytynyt yhtään",don't translate Home Assistant
cr_widget_requires_waste,,"Needs a waste collection integration, and none was found on your Home Assistant","Tarvitsee jätteenkeräyksen integroinnin, eikä mitään löytynyt laitteestasi Home Assistant",don't translate Home Assistant
cr_people_here_title,,Who is here,Kuka on täällä,
cr_people_here_empty,,Nobody is being tracked in this room right now.,Ketään ei jäljitetä tässä huoneessa juuri nyt.,
cr_people_here_unknown_room,,Room unknown,Huone tuntematon,
cr_button_exclude_counters,,Leave out of counters,Jätä laskuista,
